Name,Latitude,Longitude
Ganchinho,-25.56013655,-49.25050233
Sitio Cercado,-25.54490515,-49.26815149
Umbará,-25.60322409,-49.32490655
Abranches,-25.37053445,-49.271098
Atuba,-25.40280881,-49.19127651
Bacacheri,-25.39789938,-49.23563144
Bairro Alto,-25.41119437,-49.20760571
Barreirinha,-25.37022678,-49.25938826
Boa Vista,-25.38847865,-49.24371305
Cachoeira,-25.35764075,-49.26369613
Pilarzinho,-25.39673274,-49.2891386
Santa Cândida,-25.36915653,-49.23548502
São Lourenço,-25.39124578,-49.26855581
Taboão,-25.37230591,-49.27970819
Tarumã,-25.42744007,-49.22572989
Tingui,-25.38772734,-49.21964117
Alto Boqueirão,-25.53057664,-49.24166134
Boqueirão,-25.5028698,-49.23910288
Hauer,-25.47746625,-49.24997632
Xaxim,-25.5065331,-49.26374357
Cajuru,-25.45460264,-49.21238802
Capão da Imbuia,-25.43719577,-49.20989967
Guabirotuba,-25.46206192,-49.2427684
Jd. das Américas,-25.45480094,-49.2302722
Uberaba,-25.48625523,-49.21914605
Augusta,-25.45402959,-49.37775314
Cidade Industrial,-25.45012586,-49.35383071
Riviera,-25.4316234,-49.37907918
São Miguel,-25.50458563,-49.35965365
Água Verde,-25.45317124,-49.27967445
Campo Comprido,-25.46659361,-49.32728143
Fanny,-25.48359505,-49.27147868
Fazendinha,-25.47848124,-49.32609178
Guaíra,-25.47081056,-49.27515524
Lindoia,-25.47948853,-49.27791598
Novo Mundo,-25.4889619,-49.29611771
Parolin,-25.46282225,-49.26494788
Portão,-25.47137342,-49.29989426
Santa Quitéria,-25.46045423,-49.31104228
Vila Izabel,-25.45763829,-49.29438979
Ahú,-25.40400499,-49.26069219
Alto da Glória,-25.41902187,-49.26093512
Alto da XV,-25.42704985,-49.24805859
Batel,-25.44282906,-49.28964866
Bigorrilho,-25.42862055,-49.29932733
Bom Retiro,-25.41039294,-49.27603894
Cabral,-25.40620982,-49.25102396
Centro,-25.43519474,-49.27516476
Centro Cívico,-25.41770542,-49.26754626
Cristo Rei,-25.4333619,-49.24354249
Hugo Lange,-25.41726837,-49.24478838
Jardim Botânico,-25.44350562,-49.25068394
Jardim Social,-25.41923585,-49.23530704
Juvevê,-25.41422666,-49.25832067
Mercês,-25.42253903,-49.29509554
Prado Velho,-25.45365687,-49.25261117
Rebouças,-25.44353533,-49.26731355
São Francisco,-25.42262065,-49.27603793
Campo de Santana,-25.59067627,-49.33078435
Capão Raso,-25.50211136,-49.29662707
Caximba,-25.61648961,-49.3543179
Pinheirinho,-25.52802611,-49.28941604
Tatuquara,-25.5649756,-49.32175862
Butiatuvinha,-25.38951767,-49.35266682
Campina do Siqueira,-25.43841816,-49.30653924
Campo Comprido,-25.46664222,-49.32668099
Cascatinha,-25.41433387,-49.30726934
Lamenha Pequena,-25.36600848,-49.33525208
Mossunguê,-25.43781767,-49.32113738
Orleans,-25.42756274,-49.35306342
Santa Felicidade,-25.40334857,-49.32847674
Santo Inácio,-25.42725632,-49.32576531
São Braz,-25.41935045,-49.34577746
São João,-25.39465719,-49.31143321
Seminário,-25.44940632,-49.30421995
Vista Alegre,-25.41072488,-49.29175294
